Source,Target,Type,Id,bridge,required,out_boundary,distance
686152341,686194084,Directed,42543,1,0,0,1843.605
686445550,104380839,Directed,42563,1,0,0,570.86
686445550,686446347,Directed,42564,1,0,0,345.609
686446167,686447187,Directed,42571,1,0,0,641.323
686446167,5317314131,Directed,42572,1,0,0,706.7
686447903,339260713,Directed,42578,1,0,0,605.483
686447903,5317313740,Directed,42579,1,0,0,553.535
686461811,686461820,Directed,42591,1,0,0,297.665
686461820,5320858503,Directed,42592,1,0,0,145.657
686488758,302979820,Directed,42594,1,0,0,192.533
686516268,5320856960,Directed,42597,1,0,0,459.11
686516500,5320856289,Directed,42603,1,0,0,53.979
686532425,5322515327,Directed,42607,1,0,0,308.295
686541934,1894974733,Directed,42614,1,0,1,132.783
686541934,104398022,Directed,42615,1,0,1,277.774
686541959,686532425,Directed,42617,1,0,0,567.067
686546807,5322514968,Directed,42631,1,0,0,871.215
687084692,5322514638,Directed,42634,1,0,1,1372.364
687084700,4574047745,Directed,42636,1,0,0,1741.964
687149348,687149380,Directed,42654,1,0,1,361.415
687149348,687149372,Directed,42655,1,0,1,210.559
687149411,1493008741,Directed,42663,1,0,1,658.265
687149422,3861672308,Directed,42669,1,0,1,67.556
687149621,5171318180,Directed,42696,1,0,0,15.758
687151897,687151925,Directed,42697,1,0,1,46.95
687151897,4579992635,Directed,42698,1,0,1,93.602
687151897,4579992618,Directed,42699,1,0,1,68.654
687151922,687152000,Directed,42700,1,0,1,382.311
687151925,687151897,Directed,42703,1,0,1,46.95
687151938,687151922,Directed,42705,1,0,1,433.016
687152000,687152273,Directed,42706,1,0,1,527.347
687152101,687152059,Directed,42708,1,0,1,412.459
687152101,687152211,Directed,42709,1,0,1,746.092
687152117,4579992635,Directed,42711,1,0,1,313.511
687152278,687152117,Directed,42720,1,0,1,986.408
687153353,4579993011,Directed,42726,1,0,0,46.093
687153353,104626678,Directed,42727,1,0,0,28.45
687154275,687154276,Directed,42728,1,0,1,61.396
687154275,4579992862,Directed,42729,1,0,1,401.313
687154276,687154277,Directed,42730,1,0,1,56.723
687154276,4579992603,Directed,42731,1,0,1,276.497
687154284,687152000,Directed,42734,1,0,1,1067.306
687156257,687156279,Directed,42738,1,0,1,293.143
687156279,454957294,Directed,42739,1,0,1,60.361
687156301,687158482,Directed,42740,1,0,0,965.779
687157682,1370793639,Directed,42756,1,0,1,138.84
687157694,687157643,Directed,42758,1,0,1,100.152
687157694,105950634,Directed,42759,1,0,1,248.045
687157709,104740614,Directed,42765,1,0,1,237.126
687157710,1370793639,Directed,42766,1,0,1,256.224
687158230,687158516,Directed,42769,1,0,1,491.908
687158248,687158491,Directed,42771,1,0,1,1421.606
687158491,687156257,Directed,42785,1,0,1,444.186
687158509,687158248,Directed,42786,1,0,1,285.592
687158509,106126540,Directed,42787,1,0,1,221.609
687158548,687158509,Directed,42788,1,0,1,225.951
687162869,4481133782,Directed,42795,1,0,0,1269.164
687162869,687162886,Directed,42796,1,0,0,1227.398
687162886,687162869,Directed,42801,1,0,0,1227.398
687162886,687162916,Directed,42802,1,0,1,1024.036
687162916,687162886,Directed,42810,1,0,1,1024.036
687162954,3671269744,Directed,42813,1,0,1,26.736
688524804,688524822,Directed,42837,1,0,0,353.72
688524804,688524794,Directed,42838,1,0,0,177.88
688524822,688600635,Directed,42840,1,0,0,173.764
688524828,688524902,Directed,42843,1,0,0,199.019
688524857,688524804,Directed,42846,1,0,0,30.563
688524857,688524826,Directed,42847,1,0,0,202.233
688524869,688524857,Directed,42849,1,0,0,239.505
688524886,688524902,Directed,42850,1,0,0,255.52
688524915,688600635,Directed,42854,1,0,0,193.809
688524918,688524869,Directed,42855,1,0,0,453.722
688524918,688524794,Directed,42856,1,0,0,149.263
688600139,1803961312,Directed,42883,1,0,0,335.851
688600635,688600214,Directed,42897,1,0,0,127.942
688600846,105130874,Directed,42901,1,0,0,486.411
688600896,688600176,Directed,42902,1,0,0,736.939
688607958,688599902,Directed,42906,1,0,0,507.487
688623815,4095966989,Directed,42915,1,0,0,39.132
690733783,4465669700,Directed,42976,1,0,0,147.728
693460625,276563300,Directed,42991,1,0,0,214.001
693462334,105963891,Directed,42999,1,0,0,280.34
694914370,105994190,Directed,43014,1,0,0,227.835
696080087,105142095,Directed,43018,1,0,0,98.317
696080098,696080101,Directed,43020,1,0,1,31.877
696080101,696080098,Directed,43022,1,0,1,31.877
