X,Y,id,modularity,hood_no,hood
582952.1705,4483012.379,5010207505,36,61,Perry North
582948.9908,4483097.293,5010207732,36,61,Perry North
582866.7372,4483017.826,5010207741,36,61,Perry North
582898.9666,4482910.275,5010207755,36,61,Perry North
582865.0205,4482799.538,5010207765,36,61,Perry North
582951.3496,4482841.15,5010207768,36,61,Perry North
582875.7026,4482611.94,5010207771,36,61,Perry North
583062.3468,4482728.946,5010207776,36,61,Perry North
583175.7881,4482635.066,5010207796,36,61,Perry North
583191.1291,4482555.86,5010207806,36,61,Perry North
583734.19,4482370.619,5010208045,36,61,Perry North
583372.0716,4482327.984,5010208060,36,61,Perry North
583374.2372,4482253.86,5010208073,36,61,Perry North
583755.5223,4482206.598,5010208074,36,61,Perry North
583395.2113,4482179.036,5010208078,36,61,Perry North
583428.1657,4482062.182,5010208087,36,61,Perry North
583517.2467,4481986.164,5010208100,36,61,Perry North
583464.3014,4481952.779,5010208104,36,61,Perry North
583863.2315,4482445.436,104642528,36,61,Perry North
583599.6142,4482472.169,104642538,36,61,Perry North
582516.5584,4482799.004,2515581400,36,61,Perry North
583369.7622,4483114.329,107657744,36,61,Perry North
583081.547,4483014.737,3653092502,36,61,Perry North
583382.1537,4483023.09,107596964,36,61,Perry North
583540.6831,4483030.233,107596968,36,61,Perry North
583077.4093,4483221.58,104385901,36,61,Perry North
583676.9901,4482670.044,106090438,36,61,Perry North
584030.438,4481869.995,686151904,36,61,Perry North
582763.1774,4482826.297,105898739,36,61,Perry North
582506.2111,4482430.928,104920542,36,61,Perry North
583373.2382,4482344.227,104527330,36,61,Perry North
583591.3712,4482383.842,104855334,36,61,Perry North
582449.4886,4482814.561,105773260,36,61,Perry North
582504.3945,4482848.283,105773266,36,61,Perry North
582809.7823,4482817.344,104790370,36,61,Perry North
582779.9158,4482719.974,104790402,36,61,Perry North
584863.7289,4479184.317,675647429,36,75,Spring Hill-City View
583628.3753,4483481.295,5166482791,36,81,Summer Hill
583695.3811,4483605.151,5166482804,36,81,Summer Hill
583597.1326,4483436.95,5166482820,36,81,Summer Hill
583490.8044,4483358.905,105137577,36,81,Summer Hill
584072.878,4483287.517,105137653,36,81,Summer Hill
584143.229,4483289.896,105137661,36,81,Summer Hill
583785.1704,4483364.042,5166483071,36,81,Summer Hill
583711.4247,4483364.414,5166483078,36,81,Summer Hill
583703.8555,4483286.54,5166483233,36,81,Summer Hill
583589.6284,4483502.477,5166483290,36,81,Summer Hill
583603.9292,4483539.283,5166483291,36,81,Summer Hill
583639.3316,4483519.319,5166483461,36,81,Summer Hill
583896.8325,4483079.038,5166483523,36,81,Summer Hill
583810.8901,4483034.611,5166483534,36,81,Summer Hill
583779.5842,4482949.688,5166483543,36,81,Summer Hill
583917.6367,4482276.502,5166483571,36,81,Summer Hill
583929.2286,4482206.592,5166483578,36,81,Summer Hill
583564.675,4483474.721,105800201,36,81,Summer Hill
583765.7996,4483005.22,3782044144,36,81,Summer Hill
584080.3015,4483077.336,104362823,36,81,Summer Hill
583952.8764,4482093.443,106002253,36,81,Summer Hill
583951.6155,4482102.321,1133475913,36,81,Summer Hill
583806.7374,4483793.573,3637873841,36,81,Summer Hill
583973.3821,4483335.591,104763929,36,81,Summer Hill
584131.0596,4483128.641,1384159282,36,81,Summer Hill
584094.4754,4483285.773,1384159581,36,81,Summer Hill
584044.044,4483298.961,1384159627,36,81,Summer Hill
584075.8884,4483312.23,1384159649,36,81,Summer Hill
