FID,highway,lat,lon,osmid,ref,out_pgh,river_bge,ngh_name
10058, ,40.3961328,-80.0494259,105722554, ,1,0,
10059, ,40.3959137,-80.0519156,105722561, ,1,0,
10060, ,40.3555135,-79.9110083,105723244, ,1,0,
10061, ,40.4643871,-79.8927455,105723265, ,0,0,Lincoln-Lemington-Belmar
10062, ,40.4641402,-79.8917665,105723294, ,0,0,Lincoln-Lemington-Belmar
10063, ,40.4590093,-80.0772564,105723345, ,0,0,Windgap
10064, ,40.4570759,-80.0791885,105723356, ,0,0,Windgap
10065, ,40.4956777,-79.9437214,105723689, ,1,0,
10066, ,40.423979,-80.0462869,105723760, ,1,0,
10067, ,40.4780457,-79.9371472,105723869, ,0,0,Stanton Heights
10068, ,40.4306073,-79.8829237,105724046, ,1,0,
10069, ,40.4896594,-80.0359058,105724061, ,0,0,Brighton Heights
10070, ,40.4895863,-80.0375949,105724069, ,0,0,Brighton Heights
10071, ,40.4563017,-79.965483,105725185, ,0,0,Polish Hill
10072, ,40.3826245,-79.9931489,105725258, ,0,0,Overbrook
10073, ,40.3830737,-79.9930973,105725267, ,0,0,Overbrook
10074,turning_circle,40.3798183,-79.9465804,105725563, ,1,0,
10075, ,40.4685927,-80.0778355,105725586, ,1,0,
10076, ,40.3987726,-79.987122,105725914, ,0,0,Carrick
10077, ,40.3993016,-79.98345,105725919, ,0,0,Carrick
10078, ,40.3984948,-79.9886589,105725926, ,0,0,Carrick
10079, ,40.454316,-79.9199829,105725939, ,0,0,Shadyside
10080, ,40.4700167,-80.0290752,105725955, ,0,0,Marshall-Shadeland
10081,turning_circle,40.4513552,-79.9210715,105725967, ,0,0,Squirrel Hill North
10082, ,40.488401,-80.030547,105726017, ,0,0,Brighton Heights
10083, ,40.4882362,-80.0305375,105726052, ,0,0,Brighton Heights
10084, ,40.3897167,-80.0232619,105726096, ,0,0,Brookline
10085, ,40.388345,-80.0210301,105726106, ,0,0,Brookline
10086, ,40.3700002,-80.0036952,105726115, ,1,0,
10087, ,40.3900031,-79.9844054,105726358, ,0,0,Carrick
10088, ,40.3911778,-79.9829838,105726366, ,0,0,Carrick
10089, ,40.39157,-79.9824527,105726375, ,0,0,Carrick
10090, ,40.4273135,-79.942693,105726397, ,0,0,Greenfield
10091, ,40.427573,-79.9415599,105726402, ,0,0,Greenfield
10092, ,40.4279823,-79.9397741,105726408, ,0,0,Greenfield
10093, ,40.3907986,-80.0382695,105726486, ,1,0,
10094, ,40.4523745,-79.8968804,105726729, ,0,0,Homewood South
10095, ,40.4530003,-79.8964684,105726735, ,0,0,Homewood South
10096, ,40.4536202,-79.8960308,105726743, ,0,0,Homewood South
10097, ,40.4542102,-79.8956293,105726750, ,0,0,Homewood South
10098, ,40.4093881,-79.9988945,105726852, ,0,0,Bon Air
10099, ,40.4586024,-79.9021026,105726939, ,0,0,Homewood West
10100, ,40.4592173,-79.9020039,105726945, ,0,0,Homewood West
10101, ,40.4601265,-79.9016435,105726952, ,0,0,Homewood West
10102, ,40.4394906,-79.9537113,105727712, ,0,0,Central Oakland
10103, ,40.439234,-79.9534212,105727717, ,0,0,Central Oakland
10104, ,40.4389695,-79.9530563,105727720, ,0,0,Central Oakland
10105, ,40.4138294,-79.9809303,105727779, ,0,0,Mt. Oliver
10106, ,40.4138315,-79.9806648,105727785, ,0,0,Mt. Oliver
10107, ,40.4138744,-79.9795919,105727792, ,0,0,Mt. Oliver
10108, ,40.4273928,-79.9263751,105727819, ,0,0,Squirrel Hill South
10109, ,40.4269699,-79.9259759,105727827, ,0,0,Squirrel Hill South
10110, ,40.4257819,-79.9195976,105727838, ,0,0,Squirrel Hill South
10111, ,40.4511116,-80.0646845,105727866, ,0,0,Sheraden
10112, ,40.4450209,-79.91724,105727906, ,0,0,Point Breeze
10113, ,40.4467044,-79.9177681,105727908, ,0,0,Point Breeze
10114, ,40.4965535,-80.0280896,105727940, ,1,0,
10115, ,40.4387454,-80.0652082,105727995, ,1,0,
10116, ,40.4387215,-80.0663514,105728006, ,1,0,
10117, ,40.4172623,-79.9931048,105728274, ,0,0,Knoxville
10118, ,40.4169029,-79.9930888,105728282, ,0,0,Knoxville
10119, ,40.416523,-79.9930753,105728292, ,0,0,Knoxville
10120, ,40.4157782,-79.9930375,105728300, ,0,0,Knoxville
10121, ,40.4154211,-79.9930234,105728309, ,0,0,Knoxville
10122, ,40.4143022,-79.9929743,105728320, ,0,0,Knoxville
10123, ,40.4128265,-79.9929451,105728331, ,0,0,Knoxville
10124, ,40.4123446,-79.9928861,105728343, ,0,0,Knoxville
10125, ,40.4119218,-79.9928673,105728352, ,0,0,Knoxville
10126, ,40.4107189,-79.9930416,105728359, ,0,0,Knoxville
10127, ,40.4103227,-79.9932133,105728364, ,0,0,Knoxville
10128, ,40.4318547,-79.9817133,105728370, ,0,0,South Side Flats
10129, ,40.4303287,-79.9818893,105728377, ,0,0,South Side Flats
10130, ,40.4294403,-79.9819617,105728380, ,0,0,South Side Flats
10131,traffic_signals,40.4288532,-79.9820217,105728386, ,0,0,South Side Flats
10132, ,40.4279327,-79.9821246,105728389, ,0,0,South Side Flats
10133, ,40.4275932,-79.982165,105728393, ,0,0,South Side Flats
10134, ,40.4274916,-79.9821722,105728402, ,0,0,South Side Flats
10135, ,40.4257178,-79.9823355,105728409, ,0,0,South Side Flats
10136, ,40.4636986,-80.0122925,105728884, ,0,0,Perry South
10137, ,40.4641273,-80.0112835,105728890, ,0,0,Perry South
10138, ,40.4963925,-80.0199904,105728929, ,0,0,Perry North
10139, ,40.4838101,-80.0130707,105728973, ,0,0,Perry North
10140, ,40.4872745,-80.0162826,105729003, ,0,0,Perry North
10141, ,40.4889653,-80.0178055,105729008, ,0,0,Perry North
10142, ,40.4670277,-80.0100408,105729183, ,0,0,Perry South
