name,lat,lon,label,component
104201164,40.3880313,-80.005913,,1
104201268,40.4376336,-80.0190891,,1
2877113168,40.4373279,-80.0191524,,1
104201278,40.4369731,-80.0192396,,1
104201284,40.4364501,-80.0193804,,1
104202187,40.4442419,-79.9406197,,1
104202198,40.4443511,-79.9405596,,1
104202205,40.4444033,-79.940448,,1
302979499,40.4443455,-79.9400958,,1
104202218,40.4442792,-79.9396927,,1
302979472,40.4441159,-79.9387915,,1
302979473,40.4441347,-79.9387227,,1
302979474,40.4442065,-79.9387051,,1
302979475,40.4442401,-79.938768,,1
302979476,40.4443733,-79.9395645,,1
302979477,40.4443446,-79.9396412,,1
104202717,40.3655564,-79.9089001,,1
3158865822,40.3654865,-79.9092224,,1
104202725,40.3655155,-79.9099368,,1
104204109,40.3993609,-79.9677296,,1
104204119,40.3997449,-79.9674829,,1
4344898927,40.4000162,-79.9673757,,1
104204128,40.400037,-79.9673675,,1
4344898924,40.4001629,-79.9673456,,1
104204138,40.4002065,-79.967338,,1
104204148,40.4006477,-79.9671905,,1
104204154,40.4007376,-79.9671422,,1
104204167,40.4008111,-79.9670162,,1
104204180,40.4008295,-79.9668391,,1
4344898933,40.4006821,-79.9660411,,1
104204190,40.4006573,-79.965761,,1
104204200,40.4007355,-79.9644117,,1
3722203375,40.4903672,-80.045047,,1
3722203376,40.4903932,-80.0451142,,1
3722203378,40.4904136,-80.0451984,,1
3722203377,40.4904118,-80.0452546,,1
104205960,40.4903863,-80.0453114,,1
104205970,40.4901318,-80.0454767,,1
104206191,40.4423215,-79.8905907,,1
104206198,40.4420798,-79.8898464,,1
104206707,40.4375712,-79.9477941,,1
104206716,40.4375675,-79.9478925,,1
104206731,40.4375968,-79.948051,,1
104206745,40.437637,-79.9481974,,1
104206760,40.4376808,-79.9483486,,1
104206768,40.4377228,-79.9484783,,1
104206781,40.4377612,-79.9486151,,1
104206791,40.4378306,-79.9487303,,1
104206802,40.4379092,-79.948848,,1
104206804,40.437964,-79.9488672,,1
104206811,40.4380554,-79.9488696,,1
104206817,40.4381723,-79.9489464,,1
104206825,40.438271,-79.9490472,,1
104206832,40.4383879,-79.9491745,,1
104206842,40.4384921,-79.9492657,,1
104206849,40.4386353,-79.9493658,,1
104206854,40.4388248,-79.9494259,,1
104206862,40.4389815,-79.9494173,,1
104206867,40.4390599,-79.9493916,,1
104206875,40.4391579,-79.9493315,,1
104206885,40.4392936,-79.9492376,,1
104206894,40.4393736,-79.9491586,,1
104206905,40.4394486,-79.9490806,,1
104206912,40.4395891,-79.948971,,1
104206921,40.4397459,-79.9489109,,1
104206931,40.4399614,-79.948868,,1
104206938,40.4402162,-79.9487307,,1
104206951,40.4404426,-79.9485096,,1
2173649178,40.4406072,-79.9483582,,1
