Id,Label,timeset,d9,d8,d7,d6,d5,d2,d1,d0,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,Cluter-ID,clustering,triangles,eigencentrality
104792599,104792599,,,,4483170.632328,582070.067687,POINT (582070.0676870705 4483170.632327911),104792599,-80.0315137,40.4951842,3,3,79,0.023446,0.026819,0.000193,24,0.000068,0,0,0.333333,1,0.162203
685113884,685113884,,,,4481295.684885,581139.289237,POINT (581139.2892366354 4481295.684884954),685113884,-80.0427361,40.4783866,3,21,69,0.032801,0.039405,0.073489,0,0.000056,6,0,0.333333,1,0.300643
107545127,107545127,,,,4481112.974693,582918.993038,POINT (582918.99303753 4481112.974692662),107545127,-80.0217663,40.476565,3,3,82,0.022514,0.025624,0.000225,0,0.000074,0,0,0,0,0.12583
685113899,685113899,,,,4481594.074254,580925.425853,POINT (580925.4258533907 4481594.074254256),685113899,-80.0452208,40.4810953,1,1,75,0.027358,0.031849,0,0,0.000028,0,0,0,0,0.069968
104792619,104792619,,,,4481850.249435,584432.019041,POINT (584432.0190414105 4481850.24943488),104792619,-80.0038208,40.4830537,3,3,66,0.032568,0.038622,0.013474,40,0.000069,0,0,0,0,0.154653
107610668,107610668,,,turning_circle,4473211.510746,580642.569714,POINT (580642.5697140411 4473211.510745666),107610668,-80.0496217,40.4056138,1,1,76,0.024695,0.027981,0,65,0.000028,2,0,0,0,0.067153
685113903,685113903,,,,4481411.662305,581120.873469,POINT (581120.8734688356 4481411.662304711),685113903,-80.0429385,40.4794331,3,3,70,0.031418,0.037824,0.025873,0,0.000057,6,0,0.333333,1,0.283336
104792631,104792631,,,,4481954.092373,584426.94748,POINT (584426.9474797541 4481954.09237335),104792631,-80.0038668,40.4839896,3,3,68,0.030589,0.035412,0.002679,40,0.000078,0,0,0,0,0.117886
104858174,104858174,,,,4478436.423022,594215.644957,POINT (594215.6449572336 4478436.423022144),104858174,-79.8889142,40.4512516,3,3,80,0.021563,0.025779,0.000045,31,0.000057,1,0,0.333333,1,0.239728
104989249,104989249,,,,4483867.379048,588314.568467,POINT (588314.5684673018 4483867.379048376),104989249,-79.9577381,40.5008192,3,3,78,0.02508,0.028482,0.000243,14,0.000078,0,0,0,0,0.112094
104792650,104792650,,,,4482032.261372,584382.893759,POINT (584382.8937586916 4482032.261372171),104792650,-80.0043761,40.4846982,3,3,69,0.029697,0.034152,0.002439,40,0.000073,0,0,0.333333,1,0.167882
