id,label,timeset,osm_node_id,lat,lon,osm_label,neighborhood,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,componentnumber,strongcompnum
11435,105173588,,105173588,40.3979914,-80.0179379,,Brookline,2,1,3,2.0,1.0,3.0,5.0,0.3333333333333333,0.4361111111111111,42.0,0.0,0.0,50,0,17142
11436,105173601,,105173601,40.3967299,-80.0195344,,Brookline,1,2,3,1.0,2.0,3.0,3.0,0.5,0.5952380952380952,14.0,0.0,0.0,50,0,17141
11437,105173883,,105173883,40.4612398,-79.8062965,,,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,10038
11438,105173990,,105173990,40.5156076,-80.0266183,,,0,3,3,0.0,3.0,3.0,3.0,0.5,0.6111111111111112,0.0,0.0,0.0,6,0,24366
11439,2672735457,,2672735457,40.5140175,-80.0252502,,,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,24365
11440,105097466,,105097466,40.437691,-79.9726246,,South Oakland,0,4,4,0.0,4.0,4.0,3.0,0.6363636363636364,0.761904761904762,0.0,0.0,1.2342818E-33,75,0,24371
11441,339258875,,339258875,40.4373954,-79.9727424,,Bluff,1,1,2,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.3368174E-34,1.8520739E-34,75,0,24370
11442,104976235,,104976235,40.4441329,-80.0638915,,,0,3,3,0.0,3.0,3.0,4.0,0.4230769230769231,0.5454545454545454,0.0,0.0,0.0,32,0,24372
11443,105174065,,105174065,40.4443812,-80.0626358,,,2,1,3,2.0,1.0,3.0,5.0,0.35,0.44523809523809527,19.0,0.0,0.0,32,0,21653
11444,105174075,,105174075,40.4444293,-80.0623927,,,1,2,3,1.0,2.0,3.0,4.0,0.46153846153846156,0.5972222222222222,22.0,0.0,0.0,32,0,21652
11445,105174080,,105174080,40.4445879,-80.0616757,,,2,1,3,2.0,1.0,3.0,1.0,1.0,1.0,6.0,0.0,0.0,32,0,18319
11446,105174094,,105174094,40.4450844,-80.0607929,,,2,1,3,2.0,1.0,3.0,2.0,0.6666666666666666,0.75,6.0,0.0,0.0,32,0,5930
11447,105174102,,105174102,40.4453287,-80.0603599,,,2,1,3,2.0,1.0,3.0,1.0,1.0,1.0,7.0,0.0,0.0,32,0,5929
11448,105174110,,105174110,40.4455934,-80.0598907,,Crafton Heights,3,0,3,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,5928
11449,105174123,,105174123,40.5376325,-80.0431747,,,1,3,4,1.0,3.0,4.0,2.0,0.6666666666666666,0.75,4.5,0.0,0.0,6,0,5914
11450,105174131,,105174131,40.5376614,-80.043909,,,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,5913
11451,105174291,,105174291,40.3843502,-79.9811116,,Carrick,0,3,3,0.0,3.0,3.0,6.0,0.3333333333333333,0.45092592592592595,0.0,0.0,0.0,46,0,24375
11452,105174295,,105174295,40.3839295,-79.9811043,,Carrick,1,2,3,1.0,2.0,3.0,6.0,0.30612244897959184,0.4066666666666667,11.0,0.0,0.0,46,0,24374
11453,105174307,,105174307,40.3834474,-79.9815947,,Carrick,2,2,4,2.0,2.0,4.0,7.0,0.25925925925925924,0.38401360544217694,49.0,0.0,0.0,46,0,20221
11454,105174329,,105174329,40.3823418,-79.9805886,,Carrick,2,1,3,2.0,1.0,3.0,2.0,0.6666666666666666,0.75,4.5,0.0,0.0,46,0,16215
11455,2873961654,,2873961654,40.4329044,-79.8650867,,,1,2,3,1.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,25,0,19741
11456,105174536,,105174536,40.463084,-79.8149814,,,1,2,3,1.0,2.0,3.0,2.0,0.6666666666666666,0.75,16.0,0.0,0.0,28,0,7294
11457,105174561,,105174561,40.4649444,-79.8152395,,,2,1,3,2.0,1.0,3.0,1.0,1.0,1.0,9.0,0.0,0.0,28,0,7293
11458,5486645074,,5486645074,40.365285,-80.1143204,,,0,1,1,0.0,1.0,1.0,3.0,0.5,0.5833333333333333,0.0,0.0,0.0,16,0,24377
11459,105174745,,105174745,40.3631573,-80.1102423,,,1,2,3,1.0,2.0,3.0,2.0,0.75,0.8333333333333334,3.0,0.0,0.0,16,0,24376
11460,1025833401,,1025833401,40.4122753,-79.9689864,,Arlington,0,1,1,0.0,1.0,1.0,2.0,0.6666666666666666,0.75,0.0,0.0,0.0,87,0,24378
11461,105174808,,105174808,40.4124387,-79.9684607,,Arlington,2,1,3,2.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,87,0,13223
11462,1025833413,,1025833413,40.4123448,-79.9679109,,Arlington,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,87,0,13222
11463,105174854,,105174854,40.4003251,-80.0882668,,,2,1,3,2.0,1.0,3.0,4.0,0.38095238095238093,0.4479166666666667,16.0,0.0,0.0,20,0,18390
11464,105174857,,105174857,40.400085,-80.0882732,,,1,2,3,1.0,2.0,3.0,3.0,0.5384615384615384,0.619047619047619,21.0,0.0,0.0,20,0,18389
11465,105174864,,105174864,40.3997579,-80.0882606,,,1,2,3,1.0,2.0,3.0,2.0,0.75,0.8333333333333334,12.0,0.0,0.0,20,0,18388
11466,2324627719,,2324627719,40.3980909,-80.0882839,,,2,1,3,2.0,1.0,3.0,1.0,1.0,1.0,7.0,0.0,0.0,20,0,9750
11467,105174886,,105174886,40.3977366,-80.0882926,,,3,0,3,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,9749
11468,1758361018,,1758361018,40.3960656,-80.0870157,,,1,2,3,1.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,20,0,9754
11469,104608251,,104608251,40.3862501,-80.0129302,,Brookline,1,2,3,1.0,2.0,3.0,2.0,0.75,0.8333333333333334,15.0,0.0,0.0,50,0,13286
11470,104678775,,104678775,40.4676454,-80.0683885,,,3,0,3,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,48,0,2543
11471,5049902665,,5049902665,40.4696854,-80.07112,,,2,1,3,2.0,1.0,3.0,2.0,0.5714285714285714,0.625,11.0,0.0,0.0,48,0,22789
11472,105175042,,105175042,40.4698719,-80.0713681,,,1,3,4,1.0,3.0,4.0,1.0,1.0,1.0,11.0,0.0,0.0,48,0,22788
11473,105175047,,105175047,40.4708999,-80.0727359,,,2,1,3,2.0,1.0,3.0,1.0,1.0,1.0,0.5,0.0,0.0,48,0,18917
11474,1768008807,,1768008807,40.4497353,-79.8624597,,,2,1,3,2.0,1.0,3.0,6.0,0.28,0.3857142857142857,7.0,0.0,0.0,30,0,7372
11475,105175425,,105175425,40.3800026,-79.8102517,,,1,2,3,1.0,2.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,10,0,16230
11476,105175519,,105175519,40.4618689,-79.9879287,,Spring Garden,2,2,4,2.0,2.0,4.0,3.0,0.5714285714285714,0.7083333333333334,15.0,0.0,0.0,15,0,14056
11477,105175558,,105175558,40.4653729,-79.9914124,,Spring Hill-City View,4,0,4,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,11209
11478,105175573,,105175573,40.4538075,-79.8781307,,East Hills,2,1,3,2.0,1.0,3.0,2.0,0.6666666666666666,0.75,9.0,0.0,0.0,43,0,6907
11479,105175590,,105175590,40.4475578,-79.8782184,,,0,3,3,0.0,3.0,3.0,5.0,0.41935483870967744,0.5346153846153846,0.0,0.0,0.0,43,0,24381
11480,105175598,,105175598,40.4492991,-79.8782785,,,1,3,4,1.0,3.0,4.0,2.0,0.7142857142857143,0.8,4.0,0.0,0.0,43,0,24380
11481,105175610,,105175610,40.4499206,-79.8783136,,,2,1,3,2.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,43,0,22604
11482,104553180,,104553180,40.4509999,-79.878511,,East Hills,3,0,3,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,43,0,6904
11483,105175652,,105175652,40.4951218,-79.9275454,,,2,2,4,2.0,2.0,4.0,2.0,0.75,0.8333333333333334,20.166666666666664,0.0,0.0,12,0,3255
11484,105175660,,105175660,40.4955378,-79.9275681,,,3,0,3,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,3254
11485,105175758,,105175758,40.4479485,-79.9905019,,Strip District,1,2,3,1.0,2.0,3.0,5.0,0.35714285714285715,0.48166666666666663,6.0,0.0,0.0,53,0,15044
